Unnamed: 0_x,Contact_ID,Source_Folder_x,Q1_Topic_Introduced_By,Q2_Price_Increase_Introduction,Q3_Renewal_Fee_Mentioned,Q4_Percentage_Price_Increase_Mentioned,Q5_Monetary_Price_Increase_Mentioned,Q6_Price_Range_Mentioned,Q7_Customer_Asked_For_Justification,Q10_Customer_Response,Q11_Desire_To_Cancel,Q12_Discount_Offered,Q14_Agent_Response_To_Cancel,Previous_Year_Price,Current_Year_Price,Unnamed: 0_y,Start_Date,Prospect Outcome,Prospect Status,Prospect Renewal Date,Renewal Month,Payment Method,Renewal Score at release,Proforma Membership Status,Anchor or Indie,Anchor Group,Proforma Approved Lists,Tenure (Years),Tenure Group,Band,Date Paid,Payment Timeframe,Payment Time Frame 2,Payment Time Frame 3,Total Net Paid,Starting Net,Auto Renewal - Proforma Release,Now on Auto Renewal,Process,Unnamed: 0,Source_Folder_y,Explicit_Competitor_Mention,Implied_Competitor_Mention,Explicit_Switching_Intent,Implied_Switching_Intent,Competitor_Names_Listed,Mentioned_Alcumus_Competitors
0,537988364615,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,0,02_09_2024,No,No,No,No,COMP_NO,No
1,537988367170,02_09_2024,Agent,The agent mentioned the upcoming renewal and that it's set to auto-renew on the 15th of September.,No,No,No,Not Discussed,No,Positive,Renewed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,1,02_09_2024,No,No,No,No,COMP_NO,No
2,537988370256,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,2,02_09_2024,No,No,No,No,COMP_NO,No
3,537988474219,02_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Neutral,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,3,02_09_2024,No,No,No,No,COMP_NO,No
4,538174552516,02_09_2024,Agent,"The price increase was introduced as part of the membership renewal process, with the agent explaining the banding system based on employee numbers.","Yes, £845",No,Yes,£695 to £845,Yes,Neutral,Renewed,No,Not Discussed,£695,£845,,,,,,,,,,,,,,,,,,,,,,,,,4,02_09_2024,No,No,No,No,COMP_NO,No
5,538174554056,02_09_2024,Agent,The price increase was introduced as a requirement for the membership renewal payment to keep the certificate valid.,"No,",No,No,Not Discussed,No,Neutral,Renewed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,5,02_09_2024,No,No,No,No,COMP_NO,No
6,538175284345,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,74,03_09_2024,No,No,No,No,COMP_NO,No
7,538175348257,03_09_2024,Agent,The agent introduced the price increase by stating the new renewal fee amount and comparing it to the previous year's fee.,"Yes, £442",No,Yes,£898.80 to £442,No,Neutral,Renewed,Yes,Not Discussed,£898.80,£442,,,,,,,,,,,,,,,,,,,,,,,,,83,03_09_2024,No,Yes,No,Yes,COMP_CH,Yes
8,538175431832,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,6,03_09_2024,No,No,No,No,COMP_NO,No
9,538175440996,03_09_2024,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,91,03_09_2024,No,No,No,No,COMP_NO,No
